Ticker_Id,Indx_Members,Country,Year,Board size,Board independence,CEO duality,Board meeting attendance,Independence of audit committee,Auditor ratification,Independence of compensation committee,Independence of nomination committee,Shareholder approved poison pill,Dual class unequal voting rights of common shares,Staggered board,Diversity of board,Board duration,Corporate governance score,LogAsset,CAPEXByAsset,CashByAsset,DebtByAsset,PPNEByAsset,RNDByAsset
600000 CH,600000 CH Equity,China,2010,1,0,1,1,0,0,0,0,0,0,1,1,0,5,14.60,0.00,0.13,0.18,0.00,NA
600008 CH,600008 CH Equity,China,2010,1,0,1,1,0,0,0,0,0,0,1,1,1,6,9.73,-0.05,0.12,0.31,0.28,0.00
600009 CH,600009 CH Equity,China,2010,1,0,1,1,1,0,0,0,0,0,1,1,1,7,9.77,-0.03,0.08,0.14,0.77,0.00
600010 CH,600010 CH Equity,China,2010,1,0,1,1,0,0,0,0,0,0,1,1,0,5,10.65,-0.05,0.05,0.39,0.49,0.00
600015 CH,600015 CH Equity,China,2010,1,0,1,1,0,0,0,0,0,0,1,1,0,5,13.85,0.00,0.14,0.21,0.01,NA
600016 CH,600016 CH Equity,China,2010,1,1,1,1,1,0,1,1,0,0,1,1,1,10,14.42,0.00,0.22,0.15,0.00,NA
600018 CH,600018 CH Equity,China,2010,1,0,1,1,1,0,0,1,0,0,1,0,0,6,11.10,-0.05,0.10,0.20,0.51,0.00
600019 CH,600019 CH Equity,China,2010,1,0,1,1,1,0,1,0,0,0,1,1,0,7,12.28,-0.06,0.04,0.29,0.63,0.00
600021 CH,600021 CH Equity,China,2010,1,0,1,1,1,0,1,0,0,0,1,1,1,8,10.38,-0.07,0.06,0.45,0.66,0.00
600023 CH,600023 CH Equity,China,2010,1,0,0,0,0,0,0,0,0,0,0,0,0,1,11.27,-0.08,0.09,0.42,0.62,0.00
600025 CH,600025 CH Equity,China,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.20,-0.18,0.01,0.61,0.97,NA
600028 CH,600028 CH Equity,China,2010,1,1,1,1,1,1,1,0,0,0,1,0,1,9,13.81,-0.11,0.02,0.21,0.65,0.00
600029 CH,600029 CH Equity,China,2010,1,1,1,1,1,1,0,1,0,0,1,0,0,8,11.62,-0.12,0.09,0.50,0.83,0.00
600030 CH,600030 CH Equity,China,2010,1,1,1,1,1,0,0,0,0,0,1,1,0,7,11.94,-0.01,0.52,0.06,0.02,0.00
600031 CH,600031 CH Equity,China,2010,1,0,1,0,0,0,0,0,0,0,1,1,0,4,10.36,-0.14,0.19,0.32,0.33,0.02
600036 CH,600036 CH Equity,China,2010,1,1,1,1,1,0,1,1,0,0,1,1,1,10,14.69,0.00,0.13,0.13,0.01,NA
600048 CH,600048 CH Equity,China,2010,1,0,1,1,0,0,0,0,0,0,1,1,1,6,11.93,0.00,0.13,0.38,0.03,0.00
600050 CH,600050 CH Equity,China,2010,1,0,1,1,0,0,0,0,0,0,1,0,0,4,13.00,-0.18,0.05,0.22,0.85,0.00
600060 CH,600060 CH Equity,China,2010,1,0,1,0,0,0,0,0,0,0,1,1,0,4,9.43,-0.02,0.20,0.04,0.09,0.00
600061 CH,600061 CH Equity,China,2010,1,1,1,1,0,0,0,0,0,0,1,1,1,7,6.86,-0.04,0.13,0.15,0.30,0.00
600066 CH,600066 CH Equity,China,2010,1,0,1,1,0,0,0,0,0,0,1,1,0,5,8.88,-0.13,0.13,0.26,0.19,0.03
600068 CH,600068 CH Equity,China,2010,1,0,1,1,1,0,0,0,0,0,1,0,0,5,10.91,-0.06,0.11,0.42,0.20,0.00
600079 CH,600079 CH Equity,China,2010,1,0,1,1,0,0,0,0,0,0,1,1,1,6,8.35,-0.07,0.11,0.23,0.22,0.01
600085 CH,600085 CH Equity,China,2010,1,0,1,0,0,0,0,0,0,0,1,1,1,5,8.72,-0.02,0.33,0.03,0.17,0.00
600089 CH,600089 CH Equity,China,2010,1,0,1,1,0,0,0,0,0,0,1,1,1,6,10.07,-0.09,0.27,0.17,0.34,0.01
600100 CH,600100 CH Equity,China,2010,1,0,1,0,0,0,0,0,0,0,1,1,1,5,10.12,-0.06,0.20,0.29,0.18,0.00
